,service,flag,src_bytes,dst_bytes,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,Label
80016,24,9,303,2507,4,0,0,0.75,0.5,51,0.88,0.03,0,0,4
119242,14,9,8,0,1,0,0,1,0,9,1,0,0,0,1
112363,14,9,8,0,1,0,0,1,0,89,1,0,0,0,1
29541,44,9,145,0,3,0,0,0.33,0.67,1,0,0.2,0,0,4
118401,49,4,0,0,1,0,0,1,0,1,0.01,0.39,0.08,0,1
92435,29,1,0,0,231,0,0,0.01,0.07,2,0.01,0.07,0,0,0
84187,44,9,516,4,360,0,0,1,0,255,1,0,0,0,4
38549,49,1,0,0,185,0.1,0,0.01,1,1,0,0.87,0.07,0,1
51087,63,5,0,0,149,1,1,0.13,0.05,3,0.01,0.07,1,1,0
10741,24,9,227,1443,16,0,0,1,0,255,1,0,0,0,4
60750,14,9,8,0,1,0,0,1,0,91,1,0,0,0,1
64682,24,9,302,1548,18,0,0,1,0,255,1,0,0,0,4
48806,36,5,0,0,102,1,1,0.25,0.07,25,0.1,0.06,1,1,0
21141,60,9,141,1310,1,0,0,1,0,1,0.06,0.12,0,0,4
101801,12,9,44,125,65,0,0,1,0,121,0.5,0.02,0,0,4
78989,5,5,0,0,266,1,1,0.04,0.06,10,0.04,0.07,1,1,0
12614,19,5,0,0,282,1,1,0.04,0.06,11,0.04,0.08,1,1,0
94874,65,9,78,0,5,0,0,0.2,0.4,1,0,0.01,0,0,4
69054,65,9,181,0,3,0,0,0.67,0.67,94,0.37,0.01,0,0,4
73692,60,9,99,2068,1,0,0,1,0,2,0.01,0.03,0.01,0,4
101033,20,9,7422,0,6,0,0,1,0,54,0.21,0.02,0.32,0.39,4
16441,24,9,54540,8314,3,0,0,1,0,52,1,0,0.02,0.02,0
10645,24,9,221,998,6,0.17,0.17,1,0,255,1,0,0,0,4
79114,20,9,2194619,0,2,0,0,0.5,1,72,0.28,0.03,0.01,0,4
121014,44,9,1,0,16,0,0,0.06,0.56,1,0,0.2,0,0,1
122689,24,9,216,4368,15,0,0,1,0,255,1,0,0,0,4
9825,24,9,233,530,3,0,0,1,0,255,1,0,0,0,4
64637,58,5,0,0,126,1,1,0.16,0.06,18,0.07,0.07,1,1,0
78544,24,9,308,1591,19,0,0,1,0,255,1,0,0,0,4
62068,12,9,44,74,70,0,0,1,0,254,1,0.01,0,0,4
69871,49,5,0,0,275,1,1,0.07,0.06,18,0.07,0.07,1,1,0
103298,24,5,0,0,7,0.86,1,0.86,0.29,7,0.03,0.06,1,1,0
114924,49,5,0,0,116,1,1,0.08,0.06,4,0.02,0.08,1,1,0
64641,20,9,1470,0,11,0,0,1,0,76,1,0,0,0.01,4
48043,4,1,0,0,282,0,0,0.04,0.06,11,0.04,0.06,0,0,0
108538,28,5,0,0,143,1,1,0.08,0.06,9,0.04,0.06,1,1,0
61786,24,1,0,0,1,0,0,1,0,150,1,0,0,0,4
51702,49,1,0,0,142,0,0,0.09,0.06,13,0.11,0.07,0,0,0
2212,65,9,78,0,21,0,0,0.14,0.1,7,0.03,0.01,0,0,4
52351,69,1,0,0,207,0,0,0.02,0.07,4,0.02,0.08,0,0,0
90876,69,5,0,0,110,1,1,0.09,0.06,10,0.04,0.08,1,1,0
78328,40,5,0,0,108,1,1,0.14,0.08,6,0.02,0.09,1,1,0
13969,24,9,203,454,13,0,0,1,0,255,1,0,0,0,4
20970,11,5,0,0,299,1,1,0.03,0.05,3,0.01,0.07,1,1,0
33062,36,1,0,0,213,0,0,0.03,0.07,23,0.09,0.07,0,0,0
42440,24,9,300,279,3,0,0,1,0,255,1,0,0,0,4
57684,49,1,0,0,127,0,0,0.03,0.07,1,0,0.07,0,0,0
108683,24,9,236,943,23,0,0,1,0,255,1,0,0,0,4
86137,24,9,333,1292,14,0,0,1,0,255,1,0,0,0,4
84140,54,9,1215,340,1,0,0,1,0,105,0.38,0.02,0,0,4
3269,20,9,334,0,1,0,0,1,0,23,1,0,0,0,2
67311,49,5,0,0,228,1,1,0.01,0.07,19,0.07,0.07,1,1,0
10594,20,5,0,0,192,1,1,0.1,0.06,19,0.07,0.06,1,1,0
101950,44,1,0,0,421,0.08,0,0,1,1,0,1,0.1,0,1
109039,15,9,1032,0,511,0,0,1,0,48,0.25,0.02,0,0,0
123125,24,9,316,6224,5,0,0,1,0,255,1,0,0,0,4
107458,49,5,0,0,216,1,1,0.02,0.06,10,0.04,0.08,1,1,0
42679,19,9,886,2586,1,0,0,1,0,47,0.2,0.02,0,0,4
41409,12,9,43,70,160,0,0,1,0,226,0.89,0.01,0,0,4
40937,24,9,205,1335,11,0,0,1,0,255,1,0,0,0,4
37123,60,5,0,0,36,1,1,0.25,0.11,62,0.24,0.02,1,1,0
41041,24,9,222,292,11,0,0,1,0,255,1,0,0,0,4
62085,24,9,303,4937,7,0,0,1,0,116,1,0,0,0,4
90201,67,5,0,0,264,1,1,0.06,0.05,15,0.06,0.05,1,1,0
93474,24,9,223,403,21,0,0,1,0,255,1,0,0,0,4
107682,49,5,0,0,91,1,1,0.22,0.05,20,0.08,0.06,1,1,0
77885,42,5,0,0,216,1,1,0.11,0.06,24,0.09,0.06,1,1,0
125774,14,9,8,0,1,0,0,1,0,88,1,0,0,0,1
62354,24,9,326,434,12,0,0,1,0,255,1,0,0,0,4
72149,24,9,243,11634,2,0,0,1,0,255,1,0,0,0,4
109840,49,5,0,0,99,1,1,0.16,0.06,16,0.06,0.05,1,1,0
65379,67,1,0,0,237,0,0,0,0.06,1,0,0.07,0,0,0
69919,8,5,0,0,253,1,1,0.01,0.06,3,0.01,0.07,1,1,0
68897,24,9,249,2429,9,0,0,1,0,255,1,0,0,0,4
93769,54,9,1189,334,1,0,0,1,0,118,0.84,0.13,0,0,4
123974,24,9,54540,8314,5,0,0,1,0,8,1,0,0,0,0
119840,46,5,0,0,209,1,1,0.08,0.05,16,0.06,0.05,1,1,0
124620,15,9,520,0,339,0,0,1,0,255,1,0,0,0,0
57138,24,1,0,0,1,0,0,1,0,171,0.87,0.03,0,0,4
10171,24,9,234,193,1,0,0,1,0,255,1,0,0,0,4
48717,24,9,54540,8314,6,0,0,1,0,255,1,0,0.01,0.01,0
40922,54,9,1042,325,3,0,0,1,0,106,0.42,0.03,0,0,4
98313,24,9,226,1091,2,0,0,1,0,255,1,0,0,0,4
54953,14,9,8,0,1,0,0,1,0,80,1,0,0,0,1
109668,49,5,0,0,190,1,1,0.04,0.06,8,0.03,0.07,0.94,1,0
35504,54,9,4095,368,1,0,0,1,0,203,1,0,0,0,4
39525,59,5,0,0,297,1,1,0.07,0.06,20,0.08,0.08,1,1,0
66727,24,9,227,1920,8,0,0,1,0,255,1,0,0,0,4
57666,44,9,147,0,3,0,0,0.33,0.67,2,0.01,0.81,0,0,4
32427,15,9,1032,0,511,0,0,1,0,231,0.91,0.02,0,0,0
85152,63,5,0,0,149,1,1,0.13,0.06,1,0,0.07,1,1,0
3609,20,9,252,0,2,0,0,1,0,56,0.75,0.5,0,0,4
73910,2,5,0,0,239,1,1,0.08,0.06,3,0.01,0.09,1,1,0
5818,44,9,516,4,18,0,0,1,0,18,1,0,0,0,4
83405,24,9,325,5077,2,0,0,1,0,255,1,0,0,0,4
107221,54,9,1166,336,1,0,0,1,0,151,0.74,0.03,0,0,4
112275,24,1,0,0,1,0,0,1,0,246,1,0,0,0,4
7629,54,9,1723,334,3,0,0,0.33,0.67,102,0.45,0.03,0,0,4
116214,16,5,0,0,118,1,1,0.01,0.06,1,0,0.07,1,1,0
70251,14,9,8,0,1,0,0,1,0,86,1,0,0,0,1
35443,24,9,206,1380,23,0,0,1,0,255,1,0,0,0,4
52701,24,9,250,466,1,0,0,1,0,255,1,0,0,0,4
49528,47,9,35,130,1,0,0,1,0,7,0.03,0.03,0,0,4
106969,12,9,44,115,1,0,0,1,0,233,0.91,0.01,0,0,4
118050,24,9,285,5969,14,0,0,1,0,255,1,0,0,0,4
25625,44,4,1,0,2,0,0,1,0,2,0.01,0.73,0,0,1
97183,20,9,2105,0,1,0,0,1,0,56,0.22,0.03,0,0,4
123923,12,9,42,42,8,0,0,1,0,233,0.91,0.01,0,0,4
69336,44,1,0,0,508,0.08,0,0,1,1,0,1,0.08,0,1
66285,12,9,43,69,130,0,0,0.99,0.02,243,0.95,0.01,0,0,4
45531,8,4,0,0,1,0,0,1,0,1,0.01,0.46,0,0,1
124269,39,5,0,0,277,1,1,0.03,0.05,8,0.03,0.05,1,1,0
93578,24,9,157,26903,1,0,0,1,0,255,1,0,0,0,4
105575,41,5,0,0,98,1,1,0.03,0.07,3,0.01,0.07,1,1,0
12559,24,9,215,956,2,0,0,1,0,255,1,0,0,0,4
15443,24,9,231,9950,1,0,0,1,0,254,1,0,0,0,4
27216,24,9,324,1409,8,0,0,1,0,255,1,0,0,0,4
27749,54,9,2722,327,1,0,0,1,0,142,0.95,0.1,0,0,4
43394,9,5,0,0,114,1,1,0.01,0.07,1,0,0.07,1,1,0
20210,29,5,0,0,297,1,1,0.07,0.06,20,0.08,0.08,1,1,0
56905,20,9,5558,0,13,0,0,1,0,46,0.19,0.03,0.01,0.02,4
47109,49,5,0,0,127,1,1,0.14,0.05,18,0.07,0.04,1,1,0
123337,12,9,33,0,1,0,0,1,0,7,0.07,0.05,0,0,4
26224,2,5,0,0,209,1,1,0.04,0.06,9,0.04,0.07,1,1,0
97477,12,9,81,43,2,0,0,0.5,1,104,0.73,0.02,0,0,4
79894,49,5,0,0,61,1,1,0.02,0.1,18,0.07,0.07,1,1,0
57400,10,5,0,0,151,1,1,0.01,0.07,1,0,0.06,1,1,0
26332,49,9,105,146,2,0,0,1,0,247,0.97,0.01,0,0,4
92515,49,5,0,0,63,1,1,0.03,0.08,14,0.05,0.09,1,1,0
63650,13,5,0,0,300,1,1,0.07,0.06,20,0.08,0.08,1,1,0
5985,49,5,0,0,129,1,1,0.09,0.06,9,0.04,0.07,1,1,0
50619,41,5,0,0,123,1,1,0.04,0.06,4,0.02,0.07,1,1,0
71160,20,9,12,0,2,0,0,1,0,51,0.69,0.12,0,0.02,4
101417,49,5,0,0,213,1,1,0.05,0.06,13,0.05,0.06,1,1,0
78360,14,9,8,0,1,0,0,1,0,129,1,0,0,0,1
64181,49,9,1,0,8,0,0,0.5,0.25,4,0.02,0.87,0.03,0,1
54376,24,9,164,2299,1,0,0,1,0,255,1,0,0,0,4
111035,12,9,44,110,1,0,0,1,0,220,0.88,0.01,0,0,4
21563,49,5,0,0,284,1,1,0.04,0.06,9,0.04,0.07,1,1,0
693,42,5,0,0,92,1,1,0.03,0.07,14,0.05,0.06,1,1,0
11636,24,9,316,1247,14,0,0,1,0,255,1,0,0,0,4
12295,24,9,208,3867,11,0,0,1,0,255,1,0,0,0,4
31646,15,9,1032,0,511,0,0,1,0,82,0.36,0.01,0,0,0
111759,54,9,1478,324,1,0,0,1,0,157,0.63,0.02,0,0,4
38373,49,5,0,0,136,1,1,0.15,0.06,36,0.14,0.05,1,1,0
8758,12,9,35,35,6,0,0,0.67,0.33,250,0.98,0.01,0,0,4
76425,28,5,0,0,272,1,1,0.06,0.06,13,0.05,0.06,1,1,0
110115,6,5,0,0,125,1,1,0.05,0.06,6,0.02,0.07,1,1,0
32751,49,5,0,0,230,1,1,0.07,0.07,2,0.01,0.06,1,1,0
64625,14,9,8,0,1,0,0,1,0,38,1,0,0,0,1
35200,14,9,30,0,8,0,0,0.12,0.38,2,0.01,0.01,0,0,4
20242,44,1,0,0,509,0.22,0,0,1,1,0,1,0.16,0,1
73019,24,9,209,1535,21,0,0,1,0,255,1,0,0,0,4
108475,49,9,1,0,40,0,0,0.52,0.12,21,0.08,0.27,0,0,1
98242,19,9,248,780,1,0,0,1,0,39,0.17,0.02,0,0,4
24737,49,9,28,0,1,0,0,1,0,101,0.4,0.61,0.09,0,0
92430,24,9,318,947,3,0,0,1,0,255,1,0,0.06,0.01,4
66425,20,5,0,0,77,1,1,0.25,0.05,58,0.23,0.04,1,1,0
28624,8,5,0,0,268,1,1,0.06,0.06,5,0.02,0.08,1,1,0
71730,24,9,215,7551,4,0,0,1,0,255,1,0,0,0,4
12929,24,9,340,649,9,0,0,1,0,255,1,0,0,0,4
77943,49,9,28,0,14,0,0,1,0,14,0.05,0.02,0,0,0
13773,49,9,105,145,7,0,0,0.14,0.29,231,0.91,0.01,0,0,4
120241,54,9,796,328,1,0,0,1,0,194,0.73,0.04,0.01,0,4
110489,24,9,54540,8314,2,0,0,1,0,168,1,0,0,0,0
9232,24,9,249,12405,10,0,0,1,0,255,1,0,0,0,4
122636,18,9,6,147,1,0,0,1,0,8,0.06,0.18,0,0,4
52359,24,9,184,2653,1,0,0,1,0,255,1,0,0,0,4
125535,49,5,0,0,135,1,1,0.1,0.05,12,0.05,0.06,1,1,0
53827,24,9,312,3058,4,0,0,1,0,255,1,0,0,0,4
86078,49,5,0,0,181,1,1,0.02,0.06,16,0.06,0.06,1,1,0
67772,24,9,277,2955,15,0,0,1,0,255,1,0,0,0,4
123763,24,9,259,7723,4,0,0,1,0,255,1,0,0,0,4
116440,11,5,0,0,281,1,1,0.03,0.05,8,0.03,0.05,1,1,0
54406,24,9,235,1211,3,0,0,1,0,255,1,0,0,0,4
1143,62,9,564,0,1,0,0,1,0,1,1,0,0,0,0
41298,2,5,0,0,228,1,1,0.05,0.07,12,0.05,0.08,1,1,0
89434,54,9,580,326,1,0,0,1,0,128,0.5,0.05,0.01,0,4
64909,24,9,225,2631,6,0,0,1,0,255,1,0,0,0,4
76225,54,9,2079,330,1,0,0,1,0,146,0.47,0.09,0.02,0.01,4
19223,49,5,0,0,276,1,1,0.02,0.05,15,0.06,0.07,1,1,0
45718,54,9,2215,436,1,0,0,1,0,114,0.7,0.14,0,0,4
24293,49,9,1,0,43,0,0,0.44,0.07,19,0.07,0.23,0,0,1
79585,24,2,151,0,1,0,0,1,0,255,1,0,0.03,0.01,4
46952,24,9,306,1380,6,0,0,1,0,248,0.97,0.01,0,0,4
84224,24,9,196,2318,10,0,0,1,0,255,1,0,0,0,4
112199,24,9,321,12687,16,0,0,1,0,255,1,0,0,0,4
123062,24,9,264,3045,2,0,0,1,0,255,1,0,0,0,4
119866,54,9,982,332,1,0,0,1,0,107,0.73,0.04,0,0,4
107485,7,5,0,0,227,1,1,0.09,0.07,20,0.08,0.08,1,1,0
79668,16,5,0,0,131,1,1,0.06,0.06,1,0,0.06,1,1,0
46021,12,9,44,70,278,0,0,1,0,254,1,0.01,0,0,4
122324,12,9,46,46,115,0,0,1,0,255,1,0,0,0,4
42240,49,9,105,0,2,0,0,1,0,143,0.56,0.01,0,0,4
72621,24,9,321,1374,4,0,0,1,0,255,1,0,0,0,4
114985,14,9,8,0,1,0,0,1,0,8,1,0,0,0,1
110201,54,9,716,332,1,0,0,1,0,135,0.71,0.06,0.01,0.01,4
38755,24,9,285,2069,8,0,0,1,0,255,1,0,0,0,4
116327,12,9,44,44,136,0,0,1,0,255,1,0,0,0,4
92931,66,5,0,0,137,1,1,0.12,0.06,16,0.06,0.06,1,1,0
21246,24,9,244,2363,5,0,0,1,0,255,1,0,0,0,4
35902,49,5,0,0,260,1,1,0.04,0.06,11,0.04,0.05,1,1,0
49687,24,9,332,2873,5,0,0,1,0,255,1,0,0,0,4
104396,49,5,0,0,105,1,1,0.03,0.07,9,0.04,0.07,1,1,0
56313,24,9,237,11271,3,0,0,1,0,255,1,0,0,0,4
25114,26,5,0,0,296,1,1,0.04,0.05,13,0.05,0.05,1,1,0
6919,20,9,59,0,3,0,0,1,0,85,0.82,0.27,0,0,4
28107,18,5,0,0,9,1,1,0.33,0.33,42,0.16,0.04,1,1,0
72942,5,1,0,0,144,0,0,0.05,0.08,7,0.03,0.09,0,0,0
86087,32,5,0,0,110,1,1,0.18,0.05,1,0,0.07,1,1,0
57364,14,9,8,0,1,0,0,1,0,109,1,0,0,0,1
38512,54,9,697,334,1,0,0,1,0,143,0.64,0.27,0,0.01,4
7344,49,1,0,0,1,0,0,1,0,2,0.03,1,0,0,1
105673,24,9,331,5738,1,0,0,1,0,186,1,0,0,0,4
10571,12,9,44,69,149,0,0,1,0,224,0.88,0.01,0,0,4
10240,44,9,146,105,2,0,0,0.5,1,3,0.01,0.6,0,0,4
24718,24,9,245,22925,7,0,0,1,0,255,1,0,0,0,4
88857,12,9,46,46,106,0,0,1,0,255,1,0,0,0,4
86637,54,9,810,335,1,0,0,1,0,201,0.86,0.02,0,0,4
30026,54,9,3401,327,1,0,0,1,0,140,0.55,0.03,0,0.01,4
120367,24,9,238,373,2,0,0,1,0,255,1,0,0,0,4
90742,49,5,0,0,240,1,1,0.08,0.05,20,0.2,0.1,0.86,1,0
31087,12,9,42,42,13,0,0,1,0,255,1,0,0,0,4
125252,12,9,43,71,194,0,0,1,0,230,0.9,0.01,0,0,4
125971,30,5,0,0,144,1,1,0.06,0.05,8,0.03,0.05,1,1,0
99377,24,1,0,0,1,0,0,1,0,10,1,0,0,0.1,4
84668,24,9,194,313,37,0,0,1,0,255,1,0,0,0,4
118527,49,5,0,0,237,1,1,0.05,0.05,12,0.07,0.07,0.92,1,0
80286,12,9,44,135,312,0,0,1,0.01,251,0.98,0.01,0,0,4
2217,24,9,350,143,1,0,0,1,0,11,1,0,0,0,4
59044,66,5,0,0,133,1,1,0.08,0.06,12,0.05,0.06,1,1,0
76001,24,9,237,11499,19,0,0,1,0,255,1,0,0,0,4
53719,49,4,1,0,2,0,0,1,0,2,0.01,0.26,0,0,1
27356,24,9,307,1075,7,0,0,1,0,66,0.87,0.04,0.01,0,4
9774,20,9,60584,0,2,0,0,0.5,1,36,0.11,0.03,0,0,4
82047,24,9,0,396,9,0.11,0.11,1,0,255,1,0,0.01,0.01,4
23981,24,9,234,1075,5,0,0,1,0,245,0.96,0.01,0.02,0.02,4
64369,44,9,516,4,287,0,0,1,0,255,1,0,0,0,4
91429,12,9,111,38,1,0,0,1,0,19,0.95,0.1,0,0,4
35856,49,1,0,0,136,0,0,0.02,0.07,3,0.01,0.07,0,0,0
54420,12,9,43,109,226,0,0,1,0,112,0.74,0.02,0,0,4
111550,54,9,681,317,1,0,0,1,0,127,0.59,0.24,0,0,4
118090,11,5,0,0,268,1,1,0.02,0.06,5,0.02,0.07,1,1,0
89473,24,9,236,1715,8,0,0,1,0,255,1,0,0,0,4
50741,24,9,190,3018,9,0,0,1,0,255,1,0,0,0,4
36477,24,9,181,307,3,0,0,1,0,254,1,0,0,0,4
33040,49,5,0,0,116,1,1,0.12,0.06,14,0.05,0.07,1,1,0
1670,44,9,147,105,2,0,0,1,0,2,0.01,0.85,0,0,4
119780,24,1,0,0,101,0,0,0.07,0.07,5,0.02,0.07,0,0,0
25109,24,9,252,1562,5,0,0,1,0,255,1,0,0,0,4
79482,14,9,8,0,1,0,0,1,0,82,1,0,0,0,1
54411,49,5,0,0,224,1,1,0.04,0.07,9,0.04,0.09,1,1,0
98780,2,5,0,0,214,1,1,0,0.06,6,0.02,0.08,1,1,0
39110,49,1,0,0,1,0,0,1,0,2,0.03,1,0,0,1
82038,24,9,207,38960,8,0,0,1,0,255,1,0,0,0,4
123252,49,1,0,0,144,0,0,0.12,0.06,8,0.03,0.06,0,0,0
4645,60,9,99,2822,1,0,0,1,0,2,0.33,0.67,0,0,4
10840,14,9,8,0,1,0,0,1,0,170,1,0,0,0,1
34170,24,9,210,11933,1,0,0,1,0,255,1,0,0,0,4
3960,24,1,0,0,1,0,0,1,0,255,1,0,0,0,4
89924,20,9,192,0,2,0,0,1,0,25,0.09,0.02,0.01,0,4
69121,54,9,4243,383,270,1,0,0,0.06,12,0.05,0.06,0.94,0,4
18141,54,9,1175,335,1,0,0,1,0,209,1,0,0,0,4
105529,49,1,0,0,1,0,0,1,0,2,0.1,1,0,0,1
16648,44,9,147,0,1,0,0,1,0,1,0,0.49,0,0,4
49900,49,5,0,0,147,1,1,0.1,0.05,7,0.03,0.06,1,1,0
104179,49,5,0,0,219,1,1,0.05,0.06,10,0.04,0.07,1,1,0
110218,12,9,45,127,227,0,0,1,0,113,0.74,0.02,0,0,4
58067,49,5,0,0,286,1,1,0.03,0.06,1,0,0.07,1,1,0
39291,68,5,0,0,226,1,1,0.02,0.07,5,0.02,0.09,1,1,0
16554,24,9,191,3090,4,0,0,1,0,255,1,0,0,0,4
66027,24,9,276,17,2,0,0,1,0,255,1,0,0,0,4
81517,24,9,382,526,1,0,0,1,0,255,1,0,0,0,4
51190,24,9,307,254,5,0,0,1,0,255,1,0,0,0,4
99695,12,9,43,125,79,0,0,0.97,0.04,242,0.95,0.01,0,0,4
85782,20,9,334,0,2,0,0,1,0,16,1,0,0,0,2
42750,24,9,344,269,15,0,0,1,0,255,1,0,0,0.01,4
96660,49,4,1,0,2,0,0,1,0,2,0.01,0.67,0,0,1
37201,24,9,276,2543,21,0,0,1,0,255,1,0,0,0,4
75242,24,9,212,1532,3,0,0,1,0,255,1,0,0,0,4
16162,24,9,233,345,20,0,0,1,0,255,1,0,0,0,4
99132,44,9,5,0,2,0,0,0.5,1,3,0.01,0.02,0,0,1
1085,14,9,8,0,1,0,0,1,0,106,1,0,0,0,1
85503,49,1,0,0,2,0,0,0.5,1,1,0,0.24,0,0,1
13195,49,4,0,0,308,0,0,0.01,0.5,2,0.01,0.5,0,0,1
10322,20,9,63,0,1,0,0,1,0,42,0.15,0.23,0.31,0,4
81143,19,9,326,1054,1,0,0,1,0,1,1,0,0,0,4
22564,24,9,385,361,12,0,0,1,0,231,1,0,0,0,4
13455,12,9,46,134,38,0,0,1,0,40,0.56,0.03,0,0,4
31857,24,9,54540,8314,2,0.5,0.5,1,0,255,1,0,0.01,0.01,0
59123,54,9,1114,367,1,0,0,1,0,202,0.87,0.02,0,0,4
21145,56,5,0,0,235,1,1,0.07,0.07,16,0.06,0.08,1,1,0
8534,24,9,54540,8314,1,0,0,1,0,1,1,0,0,0,0
22633,9,5,0,0,104,1,1,0.05,0.07,7,0.03,0.06,1,1,0
3258,24,9,246,1344,7,0,0,1,0,255,1,0,0,0,4
11330,20,9,192,0,2,0,0,1,0,100,0.42,0.03,0,0,4
114953,24,9,230,1650,1,0,0,1,0,255,1,0,0,0.01,4
88483,24,9,286,347,7,0,0,1,0,255,1,0,0,0,4
75463,24,9,321,3411,1,0,0,1,0,255,1,0,0,0,4
52532,20,9,4813,0,1,0,0,1,0,40,0.29,0.29,0,0,4
37737,24,9,256,2005,6,0,0,1,0,255,1,0,0,0,4
98248,0,4,2019,10023,1,0,0,1,0,17,0.44,0.05,0.13,0.29,4
112935,44,1,0,0,343,0.09,0,0,1,1,0,1,0.09,0,1
35802,24,9,298,710,9,0,0,1,0,255,1,0,0,0,4
49301,54,9,1679,333,1,0,0,1,0,175,1,0,0,0,4
17943,19,9,1266,2453,1,0,0,1,0,31,0.12,0.02,0.1,0,2
65149,20,5,0,0,58,1,1,0.19,0.07,51,0.2,0.02,1,1,0
43228,24,9,316,1448,7,0,0,1,0,255,1,0,0,0,4
121867,18,9,9,366,1,0,0,1,0,7,0.04,0.04,0,0,4
54534,60,5,0,0,232,1,1,0.02,0.06,4,0.02,0.07,1,1,0
14770,24,9,242,1408,12,0,0,1,0,255,1,0,0,0,4
98421,49,5,0,0,46,1,1,0.15,0.07,7,0.03,0.05,1,1,0
46302,49,5,0,0,67,1,1,0.01,0.09,4,0.02,0.08,1,1,0
112993,24,9,215,863,6,0,0,1,0,255,1,0,0,0,4
83257,24,9,325,278,3,0,0,1,0,255,1,0,0,0,4
23936,12,9,44,125,41,0,0,1,0,216,0.85,0.01,0,0,4
83410,24,9,269,4873,4,0,0,1,0,255,1,0,0,0,4
25280,56,5,0,0,217,1,1,0.04,0.06,8,0.03,0.06,1,1,0
51697,67,5,0,0,238,1,1,0.1,0.05,23,0.09,0.05,1,1,0
85804,9,2,0,0,276,0,0,0.07,0.06,19,0.07,0.06,0,0,0
27943,29,1,0,0,235,0,0,0.03,0.07,6,0.02,0.07,0,0,0
33192,24,9,235,3626,30,0,0,1,0,255,1,0,0,0,4
101631,24,9,303,1380,3,0,0,1,0,254,1,0.01,0,0,4
11510,40,1,0,0,285,0,0,0.06,0.06,17,0.07,0.07,0,0,0
99334,54,9,872,329,1,0,0,1,0,119,0.34,0.06,0.01,0.02,4
86205,49,5,0,0,82,1,1,0.02,0.06,18,0.07,0.06,1,1,0
13498,24,9,337,1173,14,0,0,1,0,255,1,0,0,0,4
8363,54,9,1616,501,1,0,0,1,0,32,0.13,0.06,0.65,0,4
9837,24,9,327,1165,2,0,0,1,0,255,1,0,0,0,4
101079,44,9,146,105,1,0,0,1,0,1,0,0.87,0,0,4
124681,44,1,0,0,511,0.18,0,0,1,1,0,1,0.04,0,1
60577,60,9,677,67023,1,0,0,1,0,3,0.33,0.33,0,0.33,4
6453,18,5,0,0,261,1,1,0.07,0.05,19,0.07,0.05,1,1,0
59548,14,9,30,0,1,0,0,1,0,90,0.98,0.05,0,0,4
115675,42,5,0,0,149,1,1,0.06,0.06,9,0.04,0.06,1,1,0
77912,54,9,1785,328,1,0,0,1,0,115,0.36,0.02,0,0,4
59426,8,5,0,0,202,1,1,0,0.07,1,0,0.09,1,1,0
100438,49,4,1,0,2,0,0,1,0,2,0.01,0.22,0,0,1
33549,20,5,0,0,39,1,1,0.49,0.05,59,0.25,0.02,1,1,0
97169,20,9,10044,0,13,0,0,1,0,47,0.14,0.03,0,0,4
120561,14,9,8,0,1,0,0,1,0,22,1,0,0,0,1
17806,49,5,0,0,246,1,1,0.01,0.06,3,0.01,0.09,1,1,0
118231,24,9,228,452,8,0,0,1,0,255,1,0,0,0,4
40343,2,5,0,0,188,1,1,0.04,0.06,8,0.03,0.07,1,1,0
118547,24,9,244,6403,1,0,0,1,0,255,1,0,0,0,4
62334,24,9,306,6615,6,0,0,1,0,255,1,0,0,0,4
17980,54,9,2194,337,1,0,0,1,0,157,0.88,0.05,0,0,4
120018,20,5,0,0,19,1,1,0.11,0.21,61,0.24,0.02,1,1,0
124054,29,5,0,0,193,1,1,0.06,0.06,12,0.05,0.06,1,1,0
85314,24,9,195,317,1,0,0,1,0,255,1,0,0,0,4
74372,69,1,0,0,205,0,0,0.01,0.07,3,0.01,0.08,0,0,0
124127,14,9,8,0,1,0,0,1,0,38,1,0,0,0,1
44133,54,9,1644,332,1,0,0,1,0,166,0.64,0.02,0,0,4
61555,24,9,200,294,12,0,0,1,0,255,1,0,0,0,4
63642,44,4,1,0,2,0,0,1,0,2,0.01,0.71,0,0,1
108439,24,9,290,6105,10,0,0,1,0,255,1,0,0,0,4
116968,15,9,1032,0,511,0,0,1,0,166,0.65,0.03,0,0,0
117592,7,5,0,0,220,1,1,0.03,0.06,20,0.08,0.08,1,1,0
119086,49,5,0,0,264,1,1,0.04,0.06,10,0.04,0.07,1,1,0
78723,2,5,0,0,138,1,1,0.18,0.05,25,0.1,0.05,1,1,0
112652,2,5,0,0,277,1,1,0.07,0.06,20,0.08,0.08,1,1,0
115812,12,9,29,82,6,0,0,1,0,50,0.85,0.05,0,0,4
14023,40,5,0,0,214,1,1,0.07,0.06,15,0.06,0.07,1,1,0
11820,24,9,215,6657,1,0,0,1,0,255,1,0,0,0,4
108302,49,5,0,0,214,1,1,0.03,0.06,10,0.04,0.09,1,1,0
112739,60,5,0,0,70,1,1,0.24,0.06,50,0.2,0.05,1,1,0
121514,54,9,1349,329,1,0,0,1,0,220,1,0,0,0,4
13505,49,1,0,0,1,0,0,1,0,1,0,0.07,0,0,1
54594,0,4,2904,8282,1,0,0,1,0,24,0.26,0.02,0,0,4
125018,32,5,0,0,239,1,1,0.04,0.06,9,0.04,0.06,1,1,0
